yolo,Protocolo,DataEnvio,FoiProrrogado,Anonimo,Ativo,usuario_nome,Nome,Ativo,agente_UF,agente_Poder,agente_Nivel_Federativo,agente_nome,status_final_pedido_nome,ano
0,sem protocolo,2015-12-14,0,0,1,Artigo 19,Tribunal de Justiça do Acre,1,Acre,Judiciário,Estadual,Tribunal de Justiça do Acre,Atendido,2015
1,sem protocolo,2015-12-14,0,0,1,Artigo 19,Tribunal de Justiça do Acre,1,Acre,Judiciário,Estadual,Tribunal de Justiça do Acre,Atendido,2015
2,sem protocolo,2015-12-08,0,0,1,Artigo 19,Tribunal de Justiça do Amapá,1,Amapá,Judiciário,Estadual,Tribunal de Justiça do Amapá,Atendido,2015
3,sem protocolo,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Amapá,1,Amapá,Judiciário,Estadual,Tribunal de Justiça do Amapá,Atendido,2016
4,2015-250596,2015-12-09,0,0,1,Artigo 19,Tribunal de Justiça do Distrito Federal e Territórios,1,Distrito Federal,Judiciário,Estadual,Tribunal de Justiça do Distrito Federal e Territórios,Atendido,2015
5,2015-250604,2015-12-09,0,0,1,Artigo 19,Tribunal de Justiça do Distrito Federal e Territórios,1,Distrito Federal,Judiciário,Estadual,Tribunal de Justiça do Distrito Federal e Territórios,Atendido,2015
6,2016-002891,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Distrito Federal e Territórios,1,Distrito Federal,Judiciário,Estadual,Tribunal de Justiça do Distrito Federal e Territórios,Atendido,2016
7,2016-002897,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Distrito Federal e Territórios,1,Distrito Federal,Judiciário,Estadual,Tribunal de Justiça do Distrito Federal e Territórios,Atendido,2016
8,172000000000,2015-12-11,0,0,1,Artigo 19,Tribunal de Justiça do Espírito Santo,1,Espírito Santo,Judiciário,Estadual,Tribunal de Justiça do Espírito Santo,Atendido,2015
9,4150000000000,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Espírito Santo,1,Espírito Santo,Judiciário,Estadual,Tribunal de Justiça do Espírito Santo,Atendido,2016
10,0177396-59.2015.8.11.0000,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça do Mato Grosso,1,Mato Grosso,Judiciário,Estadual,Tribunal de Justiça do Mato Grosso,Atendido,2015
11,sem protocolo,2015-12-09,0,0,1,Artigo 19,Tribunal de Justiça da Paraíba,1,Paraíba,Judiciário,Estadual,Tribunal de Justiça da Paraíba,Atendido,2015
12,1280 54e 70,2015-12-09,0,0,1,Artigo 19,Tribunal de Justiça do Piauí,1,Piauí,Judiciário,Estadual,Tribunal de Justiça do Piauí,Atendido,2015
13,sem protocolo,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Rondônia,1,Rondônia,Judiciário,Estadual,Tribunal de Justiça de Rondônia,Atendido,2015
14,sem protocolo,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Rondônia,1,Rondônia,Judiciário,Estadual,Tribunal de Justiça de Rondônia,Atendido,2015
15,2016000354,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Rio de Janeiro,1,Rio de Janeiro,Judiciário,Estadual,Tribunal de Justiça do Rio de Janeiro,Atendido,2016
16,2015040697,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça do Rio de Janeiro,1,Rio de Janeiro,Judiciário,Estadual,Tribunal de Justiça do Rio de Janeiro,Atendido,2015
17,152033841076,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Roraima,1,Roraima,Judiciário,Estadual,Tribunal de Justiça de Roraima,Atendido,2015
18,158003343031,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Roraima,1,Roraima,Judiciário,Estadual,Tribunal de Justiça de Roraima,Atendido,2015
19,2020000000000,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça do Rio Grande do Norte,1,Rio Grande do Norte,Judiciário,Estadual,Tribunal de Justiça do Rio Grande do Norte,Atendido,2016
20,2020000000000,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça do Rio Grande do Norte,1,Rio Grande do Norte,Judiciário,Estadual,Tribunal de Justiça do Rio Grande do Norte,Atendido,2015
21,2020000000000,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça do Rio Grande do Norte,1,Rio Grande do Norte,Judiciário,Estadual,Tribunal de Justiça do Rio Grande do Norte,Atendido,2015
22,2016/00002145,2016-01-08,0,0,1,Artigo 19,Tribunal de Justiça de São Paulo,1,São Paulo,Judiciário,Estadual,Tribunal de Justiça de São Paulo,Atendido,2016
23,2015/00200141,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de São Paulo,1,São Paulo,Judiciário,Estadual,Tribunal de Justiça de São Paulo,Atendido,2015
24,062/2015,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Santa Catarina,1,Santa Catarina,Judiciário,Estadual,Tribunal de Justiça de Santa Catarina,Atendido,2015
25,060/2015,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Santa Catarina,1,Santa Catarina,Judiciário,Estadual,Tribunal de Justiça de Santa Catarina,Atendido,2015
26,20151200199,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Sergipe,1,Sergipe,Judiciário,Estadual,Tribunal de Justiça de Sergipe,Atendido,2015
27,20151200200,2015-12-10,0,0,1,Artigo 19,Tribunal de Justiça de Sergipe,1,Sergipe,Judiciário,Estadual,Tribunal de Justiça de Sergipe,Atendido,2015
28,15.0.000014625-8,2015-12-14,0,0,1,Artigo 19,Tribunal de Justiça de Tocantins,1,Tocantins,Judiciário,Estadual,Tribunal de Justiça de Tocantins,Atendido,2015
29,15.0.000014624-0,2015-12-14,0,0,1,Artigo 19,Tribunal de Justiça de Tocantins,1,Tocantins,Judiciário,Estadual,Tribunal de Justiça de Tocantins,Atendido,2015
30,15.0.000014623-1,2015-12-14,0,0,1,Artigo 19,Tribunal de Justiça de Tocantins,1,Tocantins,Judiciário,Estadual,Tribunal de Justiça de Tocantins,Atendido,2015
31,SAP/GS nº 858/2012 LG/MNPB/fhl,2012-05-16,0,0,1,Conectas Direitos Humanos,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2012
32,"2013/00042389, 2013/00042394",2013-01-04,0,0,1,Conectas Direitos Humanos,Tribunal de Justiça de São Paulo,1,São Paulo,Judiciário,Estadual,Tribunal de Justiça de São Paulo,Atendido,2013
33,2013/73598,2014-01-31,0,0,1,Conectas Direitos Humanos,Tribunal de Justiça de São Paulo,1,São Paulo,Judiciário,Estadual,Tribunal de Justiça de São Paulo,Atendido,2014
34,40369144723,2014-08-04,0,0,1,Conectas Direitos Humanos,Secretaria Estadual da Administração Penitenciária,1,São Paulo,Executivo,Estadual,Secretaria Estadual da Administração Penitenciária,Atendido,2014
35,85559158677,2015-07-06,0,0,1,Fiquem Sabendo,Governo do Estado de São Paulo,1,São Paulo,Executivo,Estadual,Governo do Estado de São Paulo,Atendido,2015
36,76013156990,2015-05-26,0,0,1,Fiquem Sabendo,Secretaria Estadual de Saúde,1,São Paulo,Executivo,Estadual,Secretaria Estadual de Saúde,Atendido,2015
37,57564157031,2015-05-27,0,0,1,Fiquem Sabendo,Secretaria Estadual de Saúde,1,São Paulo,Executivo,Estadual,Secretaria Estadual de Saúde,Atendido,2015
